index,example,question_context,choices,path
658,9,l. mark bailey,dream,[]
659,9,l. mark bailey,mark,[]
660,9,l. mark bailey,participating,[]
661,9,l. mark bailey,nice,[]
662,9,l. mark bailey,nice dinner,[]
663,9,l. mark bailey,dinner,[]
664,9,l. mark bailey,farm,[]
665,9,l. mark bailey,retired,[]
666,9,l. mark bailey,acre,[]
667,9,l. mark bailey,45,[]
668,9,st. paul,buy,[]
669,9,st. paul,45-acre horse farm,[]
670,9,st. paul,celebrated,[]
671,9,st. paul,-,[]
672,9,st. paul,horse,[]
673,9,st. paul,dream,[]
674,9,st. paul,mark,[]
675,9,st. paul,participating,[]
676,9,st. paul,nice,[]
677,9,st. paul,nice dinner,[]
678,9,st. paul,dinner,[]
679,9,st. paul,farm,[]
680,9,st. paul,retired,[]
681,9,st. paul,acre,[]
682,9,st. paul,45,[]
683,9,judge,buy,judge --Synonym--> believe <--MannerOf-- buy
684,9,judge,45-acre horse farm,[]
685,9,judge,celebrated,judge --RelatedTo--> person --Desires--> celebrated
686,9,judge,-,[]
687,9,judge,horse,judge --RelatedTo--> wear <--RelatedTo-- horse
688,9,judge,dream,judge --RelatedTo--> head <--RelatedTo-- dream
689,9,judge,mark,judge <--RelatedTo-- bar --RelatedTo--> mark
690,9,judge,participating,[]
691,9,judge,nice,judge <--RelatedTo-- punishment --Antonym--> nice
692,9,judge,nice dinner,judge --RelatedTo--> person --Desires--> nice dinner
693,9,judge,dinner,judge --RelatedTo--> person --Desires--> dinner
694,9,judge,farm,judge --RelatedTo--> making <--RelatedTo-- farm
695,9,judge,retired,[]
696,9,judge,acre,judge --RelatedTo--> system <--RelatedTo-- acre
697,9,judge,45,[]
698,9,mark,buy,mark <--RelatedTo-- sale --RelatedTo--> buy
699,9,mark,45-acre horse farm,[]
700,9,mark,celebrated,mark <--RelatedTo-- birthday --RelatedTo--> celebrated
701,9,mark,-,[]
702,9,mark,horse,mark --RelatedTo--> four <--RelatedTo-- horse
703,9,mark,dream,mark --HasContext--> singing <--dbpedia/occupation-- dream
704,9,mark,mark,mark
705,9,mark,participating,[]
706,9,mark,nice,mark --RelatedTo--> sound --RelatedTo--> nice
707,9,mark,nice dinner,[]
708,9,mark,dinner,mark --RelatedTo--> record --RelatedTo--> dinner
709,9,mark,farm,mark --RelatedTo--> red <--RelatedTo-- farm
710,9,mark,retired,[]
711,9,mark,acre,mark <--MannerOf-- dimension <--RelatedTo-- acre
712,9,mark,45,mark --RelatedTo--> record <--RelatedTo-- 45
713,10,yolk,yolk,yolk
714,10,yolk,place,yolk --RelatedTo--> middle --RelatedTo--> place
715,10,yolk,release,[]
716,10,yolk,creates,[]
717,10,yolk,squeeze,[]
718,10,yolk,pushing,[]
719,10,yolk,water bottle,[]
720,10,yolk,lift,[]
721,10,yolk,bottle,yolk --IsA--> liquid <--RelatedTo-- bottle
722,10,yolk,suction,[]
723,10,yolk,press,[]
724,10,yolk,water,yolk --RelatedTo--> inside <--RelatedTo-- water
725,10,white,yolk,white <--Antonym-- yolk
726,10,white,place,white <--HasProperty-- shoe --Synonym--> place
727,10,white,release,white --HasContext--> historical <--HasContext-- release
728,10,white,creates,white <--IsA-- wax --RelatedTo--> creates
729,10,white,squeeze,white --HasContext--> slang <--HasContext-- squeeze
730,10,white,pushing,[]
731,10,white,water bottle,white <--RelatedTo-- water <--RelatedTo-- water bottle
732,10,white,lift,white <--HasProperty-- shoe <--RelatedTo-- lift
733,10,white,bottle,white --RelatedTo--> milk --AtLocation--> bottle
734,10,white,suction,[]
735,10,white,press,white --IsA--> man <--RelatedTo-- press
736,10,white,water,white <--RelatedTo-- water
737,10,water bottle,yolk,[]
738,10,water bottle,place,water bottle --AtLocation--> beach --IsA--> place
739,10,water bottle,release,[]
740,10,water bottle,creates,[]
741,10,water bottle,squeeze,[]
742,10,water bottle,pushing,[]
743,10,water bottle,water bottle,water bottle
744,10,water bottle,lift,[]
745,10,water bottle,bottle,water bottle --IsA--> bottle
746,10,water bottle,suction,[]
747,10,water bottle,press,[]
748,10,water bottle,water,water bottle --RelatedTo--> water
749,10,separate,yolk,separate <--RelatedTo-- strain --RelatedTo--> yolk
750,10,separate,place,separate <--DerivedFrom-- separation --RelatedTo--> place
751,10,separate,release,[]
752,10,separate,creates,[]
753,10,separate,squeeze,[]
754,10,separate,pushing,[]
755,10,separate,water bottle,[]
756,10,separate,lift,separate --MannerOf--> change <--MannerOf-- lift
757,10,separate,bottle,separate <--UsedFor-- bar <--RelatedTo-- bottle
758,10,separate,suction,[]
759,10,separate,press,separate --RelatedTo--> reduce <--RelatedTo-- press
760,10,separate,water,separate <--RelatedTo-- reverse osmosis --RelatedTo--> water
761,10,bottle,yolk,bottle --RelatedTo--> liquid <--IsA-- yolk
762,10,bottle,place,bottle --AtLocation--> nursery --RelatedTo--> place
763,10,bottle,release,bottle --UsedFor--> hold --Antonym--> release
764,10,bottle,creates,[]
765,10,bottle,squeeze,bottle --MannerOf--> put <--RelatedTo-- squeeze
766,10,bottle,pushing,[]
767,10,bottle,water bottle,bottle <--IsA-- water bottle
768,10,bottle,lift,bottle --MannerOf--> put <--Antonym-- lift
769,10,bottle,bottle,bottle
770,10,bottle,suction,bottle --RelatedTo--> cup --RelatedTo--> suction
771,10,bottle,press,bottle --MannerOf--> put <--RelatedTo-- press
772,10,bottle,water,bottle <--AtLocation-- water
773,10,egg whites,yolk,egg whites --FormOf--> egg white --RelatedTo--> yolk
774,10,egg whites,place,[]
775,10,egg whites,release,[]
776,10,egg whites,creates,[]
777,10,egg whites,squeeze,[]
778,10,egg whites,pushing,[]
779,10,egg whites,water bottle,[]
780,10,egg whites,lift,[]
781,10,egg whites,bottle,[]
782,10,egg whites,suction,[]
783,10,egg whites,press,[]
784,10,egg whites,water,[]
785,10,egg,yolk,egg --RelatedTo--> yolk
786,10,egg,place,egg --RelatedTo--> center --IsA--> place
787,10,egg,release,egg <--RelatedTo-- drop --RelatedTo--> release
788,10,egg,creates,[]
789,10,egg,squeeze,egg --HasContext--> slang <--HasContext-- squeeze
790,10,egg,pushing,[]
791,10,egg,water bottle,[]
792,10,egg,lift,egg <--RelatedTo-- drop --Antonym--> lift
793,10,egg,bottle,egg --AtLocation--> supermarket <--AtLocation-- bottle
794,10,egg,suction,[]
795,10,egg,press,egg --RelatedTo--> hard <--RelatedTo-- press
796,10,egg,water,egg --RelatedTo--> shell --AtLocation--> water
797,10,water,yolk,water --IsA--> nutrient <--RelatedTo-- yolk
798,10,water,place,water <--RelatedTo-- level --IsA--> place
799,10,water,release,water --MannerOf--> secrete <--Synonym-- release
800,10,water,creates,[]
801,10,water,squeeze,water --UsedFor--> drink <--RelatedTo-- squeeze
802,10,water,pushing,[]
803,10,water,water bottle,water <--RelatedTo-- water bottle
804,10,water,lift,water --HasContext--> dialectal <--HasContext-- lift
805,10,water,bottle,water --AtLocation--> bottle
806,10,water,suction,[]
807,10,water,press,water <--RelatedTo-- cast <--MannerOf-- press
808,10,water,water,water
